id,taxon,preffered_ID,fastq_name,concentration,result,general_location,notes
171200,Loxia curvirostra type5,LC_5_171200,DP8400010139TL_L01_SP2004210318_1.fq.gz DP8400010139TL_L01_SP2004210318_2.fq.gz DP8400010332BR_L01_SP2004210318_1.fq.gz DP8400010332BR_L01_SP2004210318_2.fq.gz,104.7,Qualified,Colorado,
171201,Loxia curvirostra type5,LC_5_171201,DP8400010143TL_L01_SP2004210319_1.fq.gz DP8400010143TL_L01_SP2004210319_2.fq.gz,99.8,Qualified,Colorado,
171202,Loxia curvirostra type2,LC_2_171202,DP8400010138TL_L01_SP2004220082_1.fq.gz DP8400010138TL_L01_SP2004220082_2.fq.gz,61,Qualified,Colorado,
171203,Loxia curvirostra type5,LC_5_171203,DP8400010139TL_L01_SP2004210320_1.fq.gz DP8400010139TL_L01_SP2004210320_2.fq.gz,72.9,Qualified,Colorado,
171204,Loxia curvirostra type5,LC_5_171204,DP8400010139TL_L01_SP2004210321_1.fq.gz DP8400010139TL_L01_SP2004210321_2.fq.gz,35.3,Risky,Colorado,
171205,Loxia curvirostra type2,LC_2_171205,DP8400010138TL_L01_SP2004220083_1.fq.gz DP8400010138TL_L01_SP2004220083_2.fq.gz,68,Qualified,Colorado,
171206,Loxia curvirostra type2,LC_2_171206,DP8400010138TL_L01_SP2004220084_1.fq.gz DP8400010138TL_L01_SP2004220084_2.fq.gz,58.2,Qualified,Colorado,
171207,Loxia curvirostra type2,LC_2_171207,DP8400010138TL_L01_SP2004220085_1.fq.gz DP8400010138TL_L01_SP2004220085_2.fq.gz,116.9,Qualified,Colorado,
171208,Loxia curvirostra type5,LC_5_171208,DP8400010139TL_L01_SP2004210322_1.fq.gz DP8400010139TL_L01_SP2004210322_2.fq.gz,95.3,Qualified,Colorado,
171209,Loxia curvirostra type5,LC_5_171209,DP8400010139TL_L01_SP2004210323_1.fq.gz DP8400010139TL_L01_SP2004210323_2.fq.gz,46.9,Qualified,Colorado,
171212,Loxia curvirostra type2,LC_2_171212,DP8400010194TL_L01_SP2004210286_1.fq.gz DP8400010194TL_L01_SP2004210286_2.fq.gz,107.1,Qualified,Colorado,
171308,Loxia curvirostra type5,LC_5_171308,DP8400010139TL_L01_SP2004210324_1.fq.gz DP8400010139TL_L01_SP2004210324_2.fq.gz,89.2,Qualified,Colorado,
171317,Loxia curvirostra type5,LC_5_171317,DP8400010139TL_L01_SP2004210325_1.fq.gz DP8400010139TL_L01_SP2004210325_2.fq.gz,138.6,Qualified,Colorado,
171318,Loxia curvirostra type5,LC_5_171318,DP8400010139TL_L01_SP2004210326_1.fq.gz DP8400010139TL_L01_SP2004210326_2.fq.gz,140,Qualified,Colorado,
171320,Loxia curvirostra type5,LC_5_171320,DP8400010136TL_L01_SP2004210327_1.fq.gz DP8400010136TL_L01_SP2004210327_2.fq.gz,74.9,Qualified,Colorado,
171436,Loxia leucoptera,LL_BC_171436,DP8400010138TL_L01_SP2004220086_1.fq.gz DP8400010138TL_L01_SP2004220086_2.fq.gz,238,Qualified,British Columbia,
171679,Loxia curvirostra type5,LC_5_171679,DP8400010136TL_L01_SP2004210328_1.fq.gz DP8400010136TL_L01_SP2004210328_2.fq.gz DP8400010343BR_L01_SP2004210328_1.fq.gz DP8400010343BR_L01_SP2004210328_2.fq.gz,80.2,Qualified,Oregon,
171680,Loxia curvirostra type5,LC_5_171680,DP8400010137TL_L01_SP2004210329_1.fq.gz DP8400010137TL_L01_SP2004210329_2.fq.gz,104.9,Qualified,Oregon,
171723,Loxia curvirostra type5,LC_5_171723,DP8400010137TL_L01_SP2004210330_1.fq.gz DP8400010137TL_L01_SP2004210330_2.fq.gz,187.4,Qualified,Arizona,
171725,Loxia curvirostra type5,LC_5_171725,DP8400010138TL_L01_SP2004210331_1.fq.gz DP8400010138TL_L01_SP2004210331_2.fq.gz,22.5,Risky,Arizona,
171726,Loxia curvirostra type5,LC_5_171726,DP8400010136TL_L01_SP2004210332_1.fq.gz DP8400010136TL_L01_SP2004210332_2.fq.gz DP8400010343BR_L01_SP2004210332_1.fq.gz DP8400010343BR_L01_SP2004210332_2.fq.gz,30.2,Risky,Arizona,
171727,Loxia curvirostra type5,LC_5_171727,DP8400010138TL_L01_SP2004210333_1.fq.gz DP8400010138TL_L01_SP2004210333_2.fq.gz,87.7,Qualified,Arizona,
178396,Loxia leucoptera,LL_ON_178396,DP8400010139TL_L01_SP2004220087_1.fq.gz DP8400010139TL_L01_SP2004220087_2.fq.gz,181,Qualified,Ontario,
178397,Loxia leucoptera,LL_AL_178397,DP8400010138TL_L01_SP2004220088_1.fq.gz DP8400010138TL_L01_SP2004220088_2.fq.gz,44,Qualified,Alaska,
175180134,Loxia sinesciurus,LC_9_175180134,DP8400010139TL_L01_SP2004210310_1.fq.gz DP8400010139TL_L01_SP2004210310_2.fq.gz DP8400010350BR_L01_SP2004210310_1.fq.gz DP8400010350BR_L01_SP2004210310_2.fq.gz,68.8,Qualified,"South Hills, ID",
175181056,Loxia sinesciurus,LC_9_175181056,DP8400010143TL_L01_SP2004210307_1.fq.gz DP8400010143TL_L01_SP2004210307_2.fq.gz,166.2,Qualified,"South Hills, ID",
184152374,Loxia sinesciurus,LC_9_184152374,DP8400010194TL_L01_SP2004220097_1.fq.gz DP8400010194TL_L01_SP2004220097_2.fq.gz,47.2,Qualified,"South Hills, ID",
184152572,Loxia sinesciurus,LC_9_184152572,DP8400010157TR_L01_SP2004210298_1.fq.gz DP8400010157TR_L01_SP2004210298_2.fq.gz,162.7,Qualified,"South Hills, ID",
184152634,Loxia sinesciurus,LC_9_184152634,DP8400010157TR_L01_SP2004210297_1.fq.gz DP8400010157TR_L01_SP2004210297_2.fq.gz,123.9,Qualified,"South Hills, ID",
184152679,Loxia sinesciurus,LC_9_184152679,DP8400010190TL_L01_SP2004210290_1.fq.gz DP8400010190TL_L01_SP2004210290_2.fq.gz,272.4,Qualified,"South Hills, ID",
184152705,Loxia sinesciurus,LC_9_184152705,DP8400010194TL_L01_SP2004220095_1.fq.gz DP8400010194TL_L01_SP2004220095_2.fq.gz,133,Qualified,"South Hills, ID",
184152735,Loxia sinesciurus,LC_9_184152735,DP8400010157TR_L01_SP2004210304_1.fq.gz DP8400010157TR_L01_SP2004210304_2.fq.gz DP8400010191TL_L01_SP2004210304_1.fq.gz DP8400010191TL_L01_SP2004210304_2.fq.gz,158.1,Qualified,"South Hills, ID",
184152738,Loxia sinesciurus,LC_9_184152738,DP8400010191TL_L01_SP2004210301_1.fq.gz DP8400010191TL_L01_SP2004210301_2.fq.gz DP8400010706TL_L01_SP2004210301_1.fq.gz DP8400010706TL_L01_SP2004210301_2.fq.gz,165.4,Qualified,"South Hills, ID",
184152816,Loxia sinesciurus,LC_9_184152816,DP8400010138TL_L01_SP2004210305_1.fq.gz DP8400010138TL_L01_SP2004210305_2.fq.gz,131.2,Qualified,"South Hills, ID",
184152840,Loxia sinesciurus,LC_9_184152840,DP8400010190TL_L01_SP2004210292_1.fq.gz DP8400010190TL_L01_SP2004210292_2.fq.gz DP8400010349BR_L01_SP2004210292_1.fq.gz DP8400010349BR_L01_SP2004210292_2.fq.gz,121.7,Qualified,"South Hills, ID",
184152878,Loxia sinesciurus,LC_9_184152878,DP8400010143TL_L01_SP2004220094_1.fq.gz DP8400010143TL_L01_SP2004220094_1.fq.gz,282,Qualified,"South Hills, ID",
184152982,Loxia sinesciurus,LC_9_184152982,DP8400010143TL_L01_SP2004210309_1.fq.gz DP8400010143TL_L01_SP2004210309_2.fq.gz DP8400010350BR_L01_SP2004210309_1.fq.gz DP8400010350BR_L01_SP2004210309_2.fq.gz FP100001162TR_L01_SP2006100507_1.fq.gz FP100001162TR_L01_SP2006100507_2.fq.gz,77.7,Qualified,"South Hills, ID",
184253002,Loxia sinesciurus,LC_9_184253002,DP8400010194TL_L01_SP2004220096_1.fq.gz DP8400010194TL_L01_SP2004220096_2.fq.gz,38.2,Qualified,"South Hills, ID",
221118012,Loxia sinesciurus,LC_9_221118012,DP8400010142TL_L01_SP2004210295_1.fq.gz DP8400010142TL_L01_SP2004210295_2.fq.gz,138.7,Qualified,"South Hills, ID",
221118013,Loxia sinesciurus,LC_9_221118013,DP8400010440TR_L01_SP2004210300_1.fq.gz DP8400010440TR_L01_SP2004210300_2.fq.gz,143.9,Qualified,"South Hills, ID",
221118014,Loxia sinesciurus,LC_9_221118014,DP8400010143TL_L01_SP2004210311_1.fq.gz DP8400010143TL_L01_SP2004210311_2.fq.gz,84.5,Qualified,"South Hills, ID",
221118024,Loxia sinesciurus,LC_9_221118024,DP8400010194TL_L01_SP2004220098_1.fq.gz DP8400010194TL_L01_SP2004220098_2.fq.gz,112,Qualified,"South Hills, ID",
221118033,Loxia sinesciurus,LC_9_221118033,DP8400010191TL_L01_SP2004210302_1.fq.gz DP8400010191TL_L01_SP2004210302_2.fq.gz,169.3,Qualified,"South Hills, ID",
221118114,Loxia sinesciurus,LC_9_221118114,DP8400010157TR_L01_SP2004210299_1.fq.gz DP8400010157TR_L01_SP2004210299_2.fq.gz,118.5,Qualified,"South Hills, ID",
221118670,Loxia sinesciurus,LC_9_221118670,DP8400010139TL_L01_SP2004210306_1.fq.gz DP8400010139TL_L01_SP2004210306_2.fq.gz DP8400010332BR_L01_SP2004210306_1.fq.gz DP8400010332BR_L01_SP2004210306_2.fq.gz,149.5,Qualified,"South Hills, ID",
221118675,Loxia sinesciurus,LC_9_221118675,DP8400010142TL_L01_SP2004210293_1.fq.gz DP8400010142TL_L01_SP2004210293_2.fq.gz,140.5,Qualified,"South Hills, ID",
221118690,Loxia sinesciurus,LC_9_221118690,DP8400010191TL_L01_SP2004210303_1.fq.gz DP8400010191TL_L01_SP2004210303_2.fq.gz,167.2,Qualified,"South Hills, ID",
221118785,Loxia sinesciurus,LC_9_221118785,DP8400010142TL_L01_SP2004210291_1.fq.gz DP8400010142TL_L01_SP2004210291_2.fq.gz,119.6,Qualified,"South Hills, ID",
241157061,Loxia curvirostra type5,LC_5_241157061,DP8400010139TL_L01_SP2004220089_1.fq.gz DP8400010139TL_L01_SP2004220089_2.fq.gz,187.1,Risky,Idaho,
241157658,Loxia sinesciurus,LC_9_241157658,DP8400010139TL_L01_SP2004220091_1.fq.gz DP8400010139TL_L01_SP2004220091_2.fq.gz,168.6,Qualified,"South Hills, ID",
241157865,Loxia curvirostra type5,LC_5_241157865,DP8400010143TL_L01_SP2004220090_1.fq.gz DP8400010143TL_L01_SP2004220090_2.fq.gz,150.7,Risky,Idaho,
241157959,Loxia sinesciurus,LC_9_241157959,DP8400010143TL_L01_SP2004220092_1.fq.gz DP8400010143TL_L01_SP2004220092_2.fq.gz,334,Qualified,"South Hills, ID",
241157991,Loxia sinesciurus,LC_9_241157991,DP8400010139TL_L01_SP2004220093_1.fq.gz DP8400010139TL_L01_SP2004220093_2.fq.gz,380,Qualified,"South Hills, ID",
B358,Loxia sinesciurus,LC_9_B358,DP8400010139TL_L01_SP2004210308_1.fq.gz DP8400010139TL_L01_SP2004210308_2.fq.gz,48.7,Qualified,"South Hills, ID",
B952,Loxia sinesciurus,LC_9_B952,DP8400010190TL_L01_SP2004210296_1.fq.gz DP8400010190TL_L01_SP2004210296_2.fq.gz,138.8,Qualified,"South Hills, ID",
B953,Loxia sinesciurus,LC_9_B953,DP8400010190TL_L01_SP2004210294_1.fq.gz DP8400010190TL_L01_SP2004210294_2.fq.gz,268.3,Qualified,"South Hills, ID",
M15,Loxia curvirostra poliogyna,LC_PO_M15,DP8400010140TL_L01_SP2004210336_1.fq.gz DP8400010140TL_L01_SP2004210336_2.fq.gz,145.7,Qualified,Morocco,
M20,Loxia curvirostra poliogyna,LC_PO_M20,DP8400010144TL_L01_SP2004210337_1.fq.gz DP8400010144TL_L01_SP2004210337_2.fq.gz,86.8,Qualified,Morocco,
M22,Loxia curvirostra poliogyna,LC_PO_M22,DP8400010144TL_L01_SP2004210338_1.fq.gz DP8400010144TL_L01_SP2004210338_2.fq.gz,103.1,Qualified,Morocco,
